"text","label"
"PUT /api/v7/documents/upload/5623 HTTP/1.1
Host: secure-corp-files.net
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15
Content-Type: application/octet-stream
Content-Length: 246
Origin: https://secure-corp-files.net
Referer: https://secure-corp-files.net/docs/editor
Cookie: session_id=c3x5829x7ndwke912wet7avut; prefs=lang=en-US; theme=light
Accept: */*
Cache-Control: no-cache

U29mdHdhcmUgaW5zdGFsbGF0aW9uIGZpbGUgYmluYXJ5IGRhdGEgZm9yIHByb2plY3Qgc3VwcG9ydA==","benign"
"OPTIONS /api/v2/items HTTP/1.1
Host: data-sync-service.cloud-infra.ai
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36
Accept: */*
Origin: https://dashboard.data-sync-service.cloud-infra.ai
Access-Control-Request-Method: GET
Access-Control-Request-Headers: X-Requested-With, Content-Type
Connection: keep-alive","benign"
"POST /upload/multiple HTTP/1.1
Host: user-gallery-upload.org
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Accept-Language: en-GB,en;q=0.9
Cache-Control: no-cache
Connection: keep-alive
Content-Type: multipart/form-data; boundary=----WebKitFormBoundaryq1w2e3r4t5y6u7i8
Cookie: auth_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9...
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 11_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15

------WebKitFormBoundaryq1w2e3r4t5y6u7i8
Content-Disposition: form-data; name=""images[]""; filename=""sunrise.jpg""
Content-Type: image/jpeg

<jpeg binary data>
------WebKitFormBoundaryq1w2e3r4t5y6u7i8
Content-Disposition: form-data; name=""images[]""; filename=""mountain.png""
Content-Type: image/png

<png binary data>
------WebKitFormBoundaryq1w2e3r4t5y6u7i8
Content-Disposition: form-data; name=""documents[]""; filename=""itinerary.pdf""
Content-Type: application/pdf

<pdf binary data>
------WebKitFormBoundaryq1w2e3r4t5y6u7i8--","benign"
"POST /api/v1/messaging/send HTTP/1.1
Host: comms-platform-vault.org
User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1
Content-Type: application/x-www-form-urlencoded
Accept-Language: en-US,en;q=0.8
Content-Length: 38
Connection: keep-alive

text=run_backup&recipient=user_354&priority=high","benign"
"PUT /resources/firmware/v1.12.04/update.bin HTTP/1.1
Host: updates.iot-device-hub.io
User-Agent: Mozilla/5.0 (Linux; Android 12; SM-G996B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.5615.137 Mobile Safari/537.36
Content-Type: application/octet-stream
Content-Length: 384
Authorization: Bearer eyJ0eXAiOiJKV1QiLCJh...3WZiOWM2NzE2MDQ0NQ
Accept-Encoding: gzip, deflate, br
Connection: keep-alive

Qk1GQ0pGeGp6RXFGTnZGdEd6MGFKVGZKaGZ0bmFJSVdsd0FyaEVkdUE9PQ==","benign"
"GET /blog/health/wellness-tips-spring HTTP/1.1
Host: mindful-living-daily.org
User-Agent: Twitterbot/1.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9
Accept-Encoding: gzip, deflate
Referer: https://twitter.com/user/status/135791357913579
Connection: close","benign"
"GET /collections/home-decor/lighting HTTP/1.1
Host: homedazzle-interiors.co
Connection: keep-alive
Accept: text/html,application/xhtml+xml
Accept-Encoding: gzip
Accept-Language: en-US,en;q=0.8
Referer: https://homedazzle-interiors.co/
Cookie: session_id=865dc3f79b1f4c2c8a2f2af6832c987f; cart_ref=5a1d7e37f88a
User-Agent: Mozilla/5.0 (Linux; Android 12; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.92 Mobile Safari/537.36","benign"
"POST /auth/signin HTTP/1.1
Host: my-personal-blog-site.info
Content-Type: application/x-www-form-urlencoded
Content-Length: 68
Referer: https://my-personal-blog-site.info/auth/login
Cookie: user_session=WDQ2RjJHUVNVQTEx; csrf_token=87fde023ad89
Origin: https://my-personal-blog-site.info
Connection: keep-alive
Upgrade-Insecure-Requests: 1
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36

username=tom.hawkins&password=SunshineBeachv2","benign"
"GET /ping HTTP/1.1
Host: data-sync-service.net
User-Agent: curl/7.79.1
Accept: */*","benign"
"GET /v1/tickets/9445.xml HTTP/1.1
Host: city-transport-portal.info
Accept: application/xml
User-Agent: Bingbot/2.0 (+http://www.bing.com/bingbot.htm)
Accept-Language: en-US
Connection: keep-alive","benign"
"GET /data/query?data=%7B%22filter%22%3A%22active%22%7D HTTP/1.1
Host: api.cloud-data-services.ai
User-Agent: Googlebot/2.1 (+http://www.google.com/bot.html)
Accept: */*
Via: 1.1 varnish
Cache-Control: max-age=0
Connection: keep-alive","benign"
