label,text
benign,"POST /api/v1/feedback/send HTTP/1.1
Host: community.game-dev-forum.org
Content-Type: application/xml
Content-Length: 145
Accept: text/xml, application/xml
User-Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:111.0) Gecko/20100101 Firefox/111.0
Accept-Language: en-US,en;q=0.5
Connection: keep-alive

<feedback><user>gamer123</user><topic>UI Improvement</topic><message>Love the new chat feature, it's very responsive.</message></feedback>"
benign,"POST /profile/update HTTP/1.1
Host: nextgen-health-tech.io
Content-Type: application/x-www-form-urlencoded
Content-Length: 121
Origin: https://nextgen-health-tech.io
Referer: https://nextgen-health-tech.io/profile/update
Cookie: auth=token987654321; remember_me=yes
User-Agent: Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1
Accept: text/html,application/xhtml+xml
Accept-Language: en-US,en;q=0.9
Connection: keep-alive

display_name=Andre+Lopez&bio=Healthcare+innovator+and+runner.&website_url=https%3A%2F%2Fandrelopezhealth.io&location=San+Diego%2C+CA"
benign,"POST /api/v1/feedback HTTP/1.1
Host: techsupport-centrix.io
Content-Type: application/json
Content-Language: en-US
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15
Accept: application/json
DNT: 1
Connection: keep-alive

{""ticketId"":492817,""userId"":3342,""feedback"":""The support team resolved my issue promptly. Great service!"",""rating"":5}"
benign,"POST /accounts/register HTTP/1.1
Host: shop-finder-global.ai
Content-Type: application/x-www-form-urlencoded
Content-Length: 103
User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9
Referer: https://shop-finder-global.ai/welcome
Connection: keep-alive

username=traveler+one&email=traveler.one%40email.com&password=secur3%25pass%26word&referral_code=GIFT%23SAVE10"
benign,"GET /ping HTTP/1.1
Host: global-metric-collector.biz
User-Agent: Go-http-client/1.1
Accept: application/json
Connection: keep-alive"
benign,"GET /articles/view?headline=breaking%20news%3A%20local%20community%20garden%20initiative%20receives%20record%20number%20of%20volunteers%20and%20donations%20during%20spring%20festival%202024%2C%20promoting%20sustainability%20and%20healthy%20living HTTP/1.1
Host: news.community-voice.org
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15
Accept: text/html,application/xhtml+xml
Accept-Language: en-gb,en;q=0.8
Connection: keep-alive
Referer: https://news.community-voice.org/home"
benign,"OPTIONS /v3/projects/remove/023bc8 HTTP/1.1
Host: creative-workspace-api.design
Origin: https://studio.art-management.net
Access-Control-Request-Method: DELETE
User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1
Accept: */*
Connection: close"
benign,"POST /api/v1/booking HTTP/1.1
Host: travelplanner-asia.co.jp
Content-Type: application/x-www-form-urlencoded
Content-Length: 160
User-Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:111.0) Gecko/20100101 Firefox/111.0
Accept: application/json, text/javascript, */*; q=0.01
Origin: https://travelplanner-asia.co.jp
Cache-Control: no-cache
Connection: keep-alive

user=hirotaka.suzuki&trip=%3Ctrip%3E%3Cdeparture%3E2024-07-10%3C%2Fdeparture%3E%3Cdestination%3ETokyo%3C%2Fdestination%3E%3Cclass%3EBusiness%3C%2Fclass%3E%3C%2Ftrip%3E"
malicious,"POST /api/search HTTP/1.1
Host: api.cloud-data-services.ai
User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0
Accept: application/xml
Content-Type: application/xml
Content-Length: 112
Pragma: no-cache

<searchRequest>
  <term>' or //node() or ''='</term>
  <category>all</category>
</searchRequest>"
benign,"GET /download?file=report-final.pdf HTTP/1.1
Host: mydocuments-personal.info
User-Agent: Mozilla/5.0 (Linux; Android 12; Pixel 6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36
Accept: application/pdf
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Accept-Language: en-US,en;q=0.9"
benign,"GET /resources/js/app.bundle.js HTTP/1.1
Host: user-portal-services.cloudapp.local
X-Forwarded-For: 172.16.254.2
Accept: */*
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15
Referer: https://user-portal-services.cloudapp.local/home
Cache-Control: no-cache"
benign,"POST /vote HTTP/1.1
Host: polling-station-pro.biz
Connection: keep-alive
User-Agent: Mozilla/5.0 (Linux; Android 12; SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-GB,en;q=0.9
Content-Type: application/x-www-form-urlencoded
Content-Length: 23
Referer: https://polling-station-pro.biz/current_poll

poll_id=319&vote_option=Yes"
benign,"PUT /api/data/item123 HTTP/1.1
Host: cloud-content-handler.ai
User-Agent: curl/7.79.1
Content-Type: text/plain
Content-Length: 17
Accept: */*
Connection: close

Updated config data."
